RSSI A,RSSI B,RSSI C,x,y
-67,-73,-70,-0.61,0.78
-68,-69,-73,-0.61,1.63
-69,-71,-72,-0.61,2.56
-71,-85,-70,-0.61,3.42
-61,-71,-75,0.65,0.78
-65,-70,-70,0.65,1.63
-70,-70,-70,0.65,2.56
-68,-64,-76,0.65,3.42
-74,-68,-77,1.97,0.78
-75,-73,-72,1.97,1.63
-73,-72,-67,1.97,2.56
-71,-71,-70,1.97,3.42
-71,-61,-73,3.27,0.78
-80,-67,-72,3.27,1.63
-81,-77,-75,3.27,2.56
-75,-68,-72,3.27,3.42
-67,-64,-68,1.635,0
-72,-72,-71,3.27,1.595
-70,-78,-69,1.635,2.99
-72,-80,-73,-0.61,1.595
-74,-73,-73,3.22,2.99
-60,-71,-79,0.02,1.205
