RSSI A,RSSI B,RSSI C,x,y
-33,-54,-48,-0.61,0.78
-34,-42,-38,-0.61,1.63
-34,-42,-46,-0.61,2.56
-43,-44,-28,-0.61,3.42
-40,-42,-45,0.65,0.78
-30,-44,-39,0.65,1.63
-43,-37,-33,0.65,2.56
-38,-39,-36,0.65,3.42
-40,-42,-42,1.97,0.78
-45,-45,-39,1.97,1.63
-35,-40,-39,1.97,2.56
-35,-48,-44,1.97,3.42
-45,-40,-37,3.27,0.78
-42,-55,-41,3.27,1.63
-43,-45,-37,3.27,2.56
-42,-38,-49,3.27,3.42
-33,-45,-35,1.635,0
-48,-53,-37,3.27,1.595
-47,-40,-37,1.635,2.99
-45,-52,-47,-0.61,1.595
-55,-39,-38,3.22,2.99
-31,-47,-43,0.02,1.205
