RSSI A,RSSI B,RSSI C,x,y
-51,-72,-60,1.2031,0
-64,-72,-59,2.406,0
-66,-67,-54,3.609,0
-58,-73,-46,4.8125,0
-59,-60,-54,6.0155,0
-61,-64,-48,7.218,0
-70,-55,-53,8.421,0
-48,-63,-65,0.601,0.623
-48,-73,-54,1.804,0.623
-55,-66,-55,3.007,0.623
-55,-60,-63,4.2257,0.623
-57,-64,-51,5.414,0.623
-60,-60,-43,6.616,0.623
-67,-61,-55,7.8195,0.623
-70,-46,-49,9.023,0.623
-47,-71,-61,0,1.246
-52,-59,-56,1.2031,1.246
-55,-63,-50,2.406,1.246
-52,-72,-59,3.609,1.246
-63,-70,-57,4.8125,1.246
-59,-59,-44,6.0155,1.246
-65,-58,-48,7.218,1.246
-58,-49,-49,8.421,1.246
-65,-47,-58,9.625,1.246
-49,-73,-59,0.601,1.869
-46,-74,-67,1.804,1.869
-50,-65,-57,3.007,1.869
-49,-63,-47,4.2257,1.869
-76,-58,-40,5.414,1.869
-56,-58,-43,6.616,1.869
-67,-55,-51,7.8195,1.869
-65,-48,-59,9.023,1.869
-63,-66,-64,0,2.492
-52,-61,-61,1.2031,2.492
-50,-60,-61,2.406,2.492
-55,-65,-53,3.609,2.492
-56,-53,-48,6.0155,2.492
-62,-52,-55,7.218,2.492
-56,-48,-59,8.421,2.492
-61,-58,-53,9.625,2.492
-63,-64,-57,1.804,0
-57,-44,-51,9.023,0
-38,-64,-65,0.601,0.3115
-56,-56,-49,5.414,0.3115
-56,-62,-51,2.406,0.934
-57,-60,-55,6.0155,0.934
-52,-59,-51,4.8125,0.623
-64,-42,-46,9.023,1.246
-62,-60,-45,6.616,1.5575
-51,-67,-57,4.2257,1.5575
-55,-66,-59,0,1.864
-58,-65,-43,6.0155,1.864
-43,-65,-65,1.2031,2.1805
-64,-54,-49,7.218,2.1805
-51,-66,-62,3.007,2.492
-54,-60,-61,6.616,2.492
